,num_bikes_available,num_bikes_disabled,is_installed,legacy_id,num_ebikes_available,num_docks_available,num_docks_disabled,is_renting,station_status,last_reported,is_returning,station_id,eightd_has_available_keys,timestamp_of_data_read_request,year_station_last_reported
161,6,0,True,187,0,9,0,True,active,2020-08-14 00:26:24+00:00,True,187,False,2020-08-14 03:15:45,2020
162,11,0,True,188,0,4,0,True,active,2020-08-14 03:02:10+00:00,True,188,False,2020-08-14 03:15:45,2020
163,0,0,True,189,0,23,0,True,active,2020-08-14 02:21:19+00:00,True,189,True,2020-08-14 03:15:45,2020
164,17,1,True,190,0,19,0,True,active,2020-08-14 03:13:00+00:00,True,190,True,2020-08-14 03:15:45,2020
165,5,0,True,191,0,10,0,True,active,2020-08-14 03:03:15+00:00,True,191,False,2020-08-14 03:15:45,2020
166,1,0,True,192,0,18,0,True,active,2020-08-14 01:25:01+00:00,True,192,False,2020-08-14 03:15:45,2020
167,8,1,True,193,0,6,0,True,active,2020-08-14 02:26:32+00:00,True,193,True,2020-08-14 03:15:45,2020
168,5,1,True,194,0,13,0,True,active,2020-08-14 03:08:47+00:00,True,194,False,2020-08-14 03:15:45,2020
169,8,1,True,195,0,14,0,True,active,2020-08-14 02:43:02+00:00,True,195,False,2020-08-14 03:15:45,2020
170,0,1,True,196,0,9,0,True,active,2020-08-13 22:31:42+00:00,True,196,True,2020-08-14 03:15:45,2020
171,3,1,True,197,0,11,0,True,active,2020-08-13 23:59:03+00:00,True,197,False,2020-08-14 03:15:45,2020
172,7,0,True,199,0,8,0,True,active,2020-08-14 02:05:42+00:00,True,199,False,2020-08-14 03:15:45,2020
173,11,0,True,200,0,8,0,True,active,2020-08-14 02:39:28+00:00,True,200,False,2020-08-14 03:15:45,2020
174,10,0,True,201,0,5,0,True,active,2020-08-14 00:14:03+00:00,True,201,False,2020-08-14 03:15:45,2020
