,is_returning,is_installed,is_renting,eightd_has_available_keys,station_id,num_docks_disabled,num_ebikes_available,last_reported,station_status,num_docks_available,num_bikes_disabled,num_bikes_available,legacy_id,timestamp_of_data_read_request,year_station_last_reported
201,True,True,True,False,234,0,0,2020-08-11 01:44:48+00:00,active,13,0,2,234,2020-08-11 06:38:15,2020
202,True,True,True,False,235,0,0,2020-08-10 20:46:12+00:00,active,10,0,5,235,2020-08-11 06:38:15,2020
203,True,True,True,False,236,0,0,2020-08-11 01:08:14+00:00,active,4,0,11,236,2020-08-11 06:38:15,2020
204,True,True,True,False,239,0,0,2020-08-11 01:32:03+00:00,active,4,0,11,239,2020-08-11 06:38:15,2020
205,True,True,True,False,255,0,0,2020-08-11 01:54:59+00:00,active,4,0,11,255,2020-08-11 06:38:15,2020
206,True,True,True,False,258,0,0,2020-08-11 00:02:39+00:00,active,5,1,9,258,2020-08-11 06:38:15,2020
207,True,True,True,False,259,0,0,2020-08-11 01:07:45+00:00,active,0,0,15,259,2020-08-11 06:38:15,2020
208,True,True,True,False,260,0,0,2020-08-11 05:55:43+00:00,active,2,0,13,260,2020-08-11 06:38:15,2020
209,True,True,True,False,271,0,0,2020-08-11 01:38:56+00:00,active,8,0,7,271,2020-08-11 06:38:15,2020
210,True,True,True,False,272,0,0,2020-08-10 23:07:58+00:00,active,12,1,6,272,2020-08-11 06:38:15,2020
211,True,True,True,False,273,0,0,2020-08-11 04:18:14+00:00,active,20,0,20,273,2020-08-11 06:38:15,2020
212,True,True,True,False,279,0,0,2020-08-11 04:48:30+00:00,active,4,0,15,279,2020-08-11 06:38:15,2020
213,True,True,True,False,280,0,0,2020-08-11 00:34:06+00:00,active,10,0,9,280,2020-08-11 06:38:15,2020
214,True,True,True,False,282,0,0,2020-08-11 00:17:01+00:00,active,0,2,13,282,2020-08-11 06:38:15,2020
215,True,True,True,False,296,0,0,2020-08-11 03:59:36+00:00,active,10,1,12,296,2020-08-11 06:38:15,2020
216,True,True,True,False,318,0,0,2020-08-11 04:20:28+00:00,active,12,0,7,318,2020-08-11 06:38:15,2020
217,True,True,True,False,319,0,0,2020-08-11 03:06:04+00:00,active,21,0,4,319,2020-08-11 06:38:15,2020
218,True,True,True,False,327,0,0,2020-08-11 01:53:42+00:00,active,0,0,15,327,2020-08-11 06:38:15,2020
219,True,True,True,False,328,0,0,2020-08-11 04:19:23+00:00,active,14,0,1,328,2020-08-11 06:38:15,2020
220,True,True,True,False,329,0,0,2020-08-11 02:08:33+00:00,active,10,0,5,329,2020-08-11 06:38:15,2020
221,True,True,True,False,330,0,0,2020-08-11 01:55:30+00:00,active,6,0,9,330,2020-08-11 06:38:15,2020
222,True,True,True,False,331,0,0,2020-08-11 05:39:01+00:00,active,9,0,6,331,2020-08-11 06:38:15,2020
223,True,True,True,False,332,0,0,2020-08-11 04:44:39+00:00,active,0,1,14,332,2020-08-11 06:38:15,2020
