,num_bikes_available,num_ebikes_available,num_docks_available,num_docks_disabled,is_renting,eightd_has_available_keys,legacy_id,is_returning,station_status,last_reported,num_bikes_disabled,station_id,is_installed,valet,eightd_active_station_services,timestamp_of_data_read_request,year_station_last_reported
208,7,0,7,0,True,False,260,True,active,2020-07-30 23:09:27+00:00,1,260,True,,,2020-07-30 23:33:20,2020
209,1,0,14,0,True,False,271,True,active,2020-07-30 22:37:57+00:00,0,271,True,,,2020-07-30 23:33:20,2020
210,7,0,10,0,True,False,272,True,active,2020-07-30 22:10:48+00:00,2,272,True,,,2020-07-30 23:33:20,2020
211,27,0,13,0,True,False,273,True,active,2020-07-30 23:23:08+00:00,0,273,True,,,2020-07-30 23:33:20,2020
212,8,0,11,0,True,False,279,True,active,2020-07-30 23:30:06+00:00,0,279,True,,,2020-07-30 23:33:20,2020
213,12,0,6,0,True,False,280,True,active,2020-07-30 22:55:18+00:00,1,280,True,,,2020-07-30 23:33:20,2020
214,11,0,2,0,True,False,282,True,active,2020-07-30 23:07:48+00:00,2,282,True,,,2020-07-30 23:33:20,2020
215,6,0,17,0,True,False,296,True,active,2020-07-30 23:27:06+00:00,0,296,True,,,2020-07-30 23:33:20,2020
216,0,0,19,0,True,False,318,True,active,2020-07-30 22:37:19+00:00,0,318,True,,,2020-07-30 23:33:20,2020
217,9,0,16,0,True,False,319,True,active,2020-07-30 23:18:02+00:00,0,319,True,,,2020-07-30 23:33:20,2020
218,12,0,3,0,True,False,327,True,active,2020-07-30 22:33:39+00:00,0,327,True,,,2020-07-30 23:33:20,2020
