,is_returning,num_ebikes_available,station_status,eightd_has_available_keys,num_docks_available,station_id,last_reported,legacy_id,num_bikes_available,is_installed,is_renting,num_docks_disabled,num_bikes_disabled,timestamp_of_data_read_request,year_station_last_reported
189,True,0,active,False,6,217,2020-08-18 22:41:59+00:00,217,12,True,True,0,1,2020-08-18 22:49:10,2020
190,True,0,active,False,0,218,2020-08-18 22:45:38+00:00,218,13,True,True,0,2,2020-08-18 22:49:10,2020
191,True,0,active,False,13,219,2020-08-18 21:48:43+00:00,219,2,True,True,0,0,2020-08-18 22:49:10,2020
192,True,0,active,False,14,221,2020-08-18 22:33:30+00:00,221,4,True,True,0,1,2020-08-18 22:49:10,2020
193,True,0,active,True,14,222,2020-08-18 22:24:44+00:00,222,0,True,True,0,0,2020-08-18 22:49:10,2020
194,True,0,active,False,5,224,2020-08-18 22:45:11+00:00,224,11,True,True,0,1,2020-08-18 22:49:10,2020
195,True,0,active,False,12,225,2020-08-18 22:41:27+00:00,225,6,True,True,0,1,2020-08-18 22:49:10,2020
196,True,0,active,False,12,226,2020-08-18 22:41:40+00:00,226,2,True,True,0,1,2020-08-18 22:49:10,2020
197,True,0,active,False,14,227,2020-08-18 22:41:28+00:00,227,3,True,True,0,2,2020-08-18 22:49:10,2020
198,True,0,active,False,11,228,2020-08-18 22:40:32+00:00,228,8,True,True,0,0,2020-08-18 22:49:10,2020
199,True,0,active,False,10,232,2020-08-18 22:26:22+00:00,232,1,True,True,0,0,2020-08-18 22:49:10,2020
200,True,0,active,False,13,233,2020-08-18 22:39:43+00:00,233,1,True,True,0,1,2020-08-18 22:49:10,2020
201,True,0,active,False,14,234,2020-08-18 22:32:42+00:00,234,1,True,True,0,0,2020-08-18 22:49:10,2020
202,True,0,active,False,9,235,2020-08-18 22:30:57+00:00,235,6,True,True,0,0,2020-08-18 22:49:10,2020
203,True,0,active,False,8,236,2020-08-18 22:37:25+00:00,236,7,True,True,0,0,2020-08-18 22:49:10,2020
204,True,0,active,False,6,239,2020-08-18 22:47:41+00:00,239,8,True,True,0,1,2020-08-18 22:49:10,2020
205,True,0,active,False,8,255,2020-08-18 22:20:19+00:00,255,6,True,True,0,1,2020-08-18 22:49:10,2020
206,True,0,active,False,8,258,2020-08-18 22:23:02+00:00,258,7,True,True,0,0,2020-08-18 22:49:10,2020
207,True,0,active,False,5,259,2020-08-18 17:28:18+00:00,259,10,True,True,0,0,2020-08-18 22:49:10,2020
208,True,0,active,False,10,260,2020-08-18 21:49:05+00:00,260,5,True,True,0,0,2020-08-18 22:49:10,2020
209,True,0,active,False,4,271,2020-08-18 22:47:24+00:00,271,11,True,True,0,0,2020-08-18 22:49:10,2020
210,True,0,active,False,7,272,2020-08-18 21:45:45+00:00,272,12,True,True,0,0,2020-08-18 22:49:10,2020
211,True,0,active,False,16,273,2020-08-18 22:00:59+00:00,273,24,True,True,0,0,2020-08-18 22:49:10,2020
212,True,0,active,False,0,279,2020-08-18 22:09:56+00:00,279,19,True,True,0,0,2020-08-18 22:49:10,2020
213,True,0,active,False,5,280,2020-08-18 22:45:49+00:00,280,14,True,True,0,0,2020-08-18 22:49:10,2020
214,True,0,active,False,4,282,2020-08-18 22:37:23+00:00,282,11,True,True,0,0,2020-08-18 22:49:10,2020
215,True,0,active,False,8,296,2020-08-18 22:45:19+00:00,296,14,True,True,0,1,2020-08-18 22:49:10,2020
216,True,0,active,False,12,318,2020-08-18 22:42:04+00:00,318,7,True,True,0,0,2020-08-18 22:49:10,2020
217,True,0,active,False,20,319,2020-08-18 22:32:22+00:00,319,5,True,True,0,0,2020-08-18 22:49:10,2020
218,True,0,active,False,11,327,2020-08-18 22:41:51+00:00,327,4,True,True,0,0,2020-08-18 22:49:10,2020
219,True,0,active,False,7,328,2020-08-18 22:37:30+00:00,328,8,True,True,0,0,2020-08-18 22:49:10,2020
220,True,0,active,False,1,329,2020-08-18 21:14:17+00:00,329,13,True,True,0,1,2020-08-18 22:49:10,2020
221,True,0,active,False,14,330,2020-08-18 22:44:35+00:00,330,1,True,True,0,0,2020-08-18 22:49:10,2020
