,is_returning,num_docks_available,num_docks_disabled,num_bikes_disabled,num_bikes_available,last_reported,legacy_id,num_ebikes_available,is_renting,station_status,is_installed,station_id,eightd_has_available_keys,timestamp_of_data_read_request,year_station_last_reported
201,True,11,0,0,4,2020-08-19 00:20:00+00:00,234,0,True,active,True,234,False,2020-08-19 00:41:25,2020
202,True,13,0,0,2,2020-08-19 00:23:46+00:00,235,0,True,active,True,235,False,2020-08-19 00:41:25,2020
203,True,5,0,0,10,2020-08-19 00:00:19+00:00,236,0,True,active,True,236,False,2020-08-19 00:41:25,2020
204,True,4,0,1,10,2020-08-19 00:33:15+00:00,239,0,True,active,True,239,False,2020-08-19 00:41:25,2020
205,True,11,0,1,3,2020-08-19 00:40:48+00:00,255,0,True,active,True,255,False,2020-08-19 00:41:25,2020
206,True,7,0,0,8,2020-08-19 00:03:23+00:00,258,0,True,active,True,258,False,2020-08-19 00:41:25,2020
207,True,5,0,0,10,2020-08-18 17:28:18+00:00,259,0,True,active,True,259,False,2020-08-19 00:41:25,2020
208,True,10,0,0,5,2020-08-18 21:49:05+00:00,260,0,True,active,True,260,False,2020-08-19 00:41:25,2020
209,True,3,0,0,12,2020-08-18 23:11:53+00:00,271,0,True,active,True,271,False,2020-08-19 00:41:25,2020
210,True,7,0,0,12,2020-08-18 21:45:45+00:00,272,0,True,active,True,272,False,2020-08-19 00:41:25,2020
211,True,12,0,0,28,2020-08-19 00:16:57+00:00,273,0,True,active,True,273,False,2020-08-19 00:41:25,2020
212,True,2,0,0,17,2020-08-19 00:27:19+00:00,279,0,True,active,True,279,False,2020-08-19 00:41:25,2020
213,True,5,0,0,14,2020-08-18 22:54:33+00:00,280,0,True,active,True,280,False,2020-08-19 00:41:25,2020
214,True,2,0,0,13,2020-08-19 00:33:35+00:00,282,0,True,active,True,282,False,2020-08-19 00:41:25,2020
215,True,3,0,1,19,2020-08-19 00:19:26+00:00,296,0,True,active,True,296,False,2020-08-19 00:41:25,2020
216,True,19,0,0,0,2020-08-19 00:15:08+00:00,318,0,True,active,True,318,False,2020-08-19 00:41:25,2020
217,True,16,0,0,9,2020-08-19 00:36:44+00:00,319,0,True,active,True,319,False,2020-08-19 00:41:25,2020
218,True,14,0,0,1,2020-08-18 23:52:25+00:00,327,0,True,active,True,327,False,2020-08-19 00:41:25,2020
219,True,8,0,0,7,2020-08-19 00:30:28+00:00,328,0,True,active,True,328,False,2020-08-19 00:41:25,2020
220,True,3,0,1,11,2020-08-19 00:19:49+00:00,329,0,True,active,True,329,False,2020-08-19 00:41:25,2020
221,True,14,0,0,1,2020-08-18 23:25:25+00:00,330,0,True,active,True,330,False,2020-08-19 00:41:25,2020
222,True,13,0,0,2,2020-08-19 00:28:33+00:00,331,0,True,active,True,331,False,2020-08-19 00:41:25,2020
223,True,6,0,1,8,2020-08-19 00:29:00+00:00,332,0,True,active,True,332,False,2020-08-19 00:41:25,2020
