,eightd_has_available_keys,num_docks_disabled,last_reported,is_installed,legacy_id,station_status,is_renting,num_bikes_available,station_id,is_returning,num_bikes_disabled,num_docks_available,num_ebikes_available,timestamp_of_data_read_request,year_station_last_reported
204,False,0,2020-08-11 01:32:03+00:00,True,239,active,True,11,239,True,0,4,0,2020-08-11 08:20:25,2020
205,False,0,2020-08-11 01:54:59+00:00,True,255,active,True,11,255,True,0,4,0,2020-08-11 08:20:25,2020
206,False,0,2020-08-11 00:02:39+00:00,True,258,active,True,9,258,True,1,5,0,2020-08-11 08:20:25,2020
207,False,0,2020-08-11 01:07:45+00:00,True,259,active,True,15,259,True,0,0,0,2020-08-11 08:20:25,2020
208,False,0,2020-08-11 05:55:43+00:00,True,260,active,True,13,260,True,0,2,0,2020-08-11 08:20:25,2020
209,False,0,2020-08-11 01:38:56+00:00,True,271,active,True,7,271,True,0,8,0,2020-08-11 08:20:25,2020
210,False,0,2020-08-10 23:07:58+00:00,True,272,active,True,6,272,True,1,12,0,2020-08-11 08:20:25,2020
211,False,0,2020-08-11 04:18:14+00:00,True,273,active,True,20,273,True,0,20,0,2020-08-11 08:20:25,2020
212,False,0,2020-08-11 04:48:30+00:00,True,279,active,True,15,279,True,0,4,0,2020-08-11 08:20:25,2020
213,False,0,2020-08-11 00:34:06+00:00,True,280,active,True,9,280,True,0,10,0,2020-08-11 08:20:25,2020
214,False,0,2020-08-11 00:17:01+00:00,True,282,active,True,13,282,True,2,0,0,2020-08-11 08:20:25,2020
215,False,0,2020-08-11 03:59:36+00:00,True,296,active,True,12,296,True,1,10,0,2020-08-11 08:20:25,2020
216,False,0,2020-08-11 04:20:28+00:00,True,318,active,True,7,318,True,0,12,0,2020-08-11 08:20:25,2020
217,False,0,2020-08-11 03:06:04+00:00,True,319,active,True,4,319,True,0,21,0,2020-08-11 08:20:25,2020
218,False,0,2020-08-11 01:53:42+00:00,True,327,active,True,15,327,True,0,0,0,2020-08-11 08:20:25,2020
219,False,0,2020-08-11 04:19:23+00:00,True,328,active,True,1,328,True,0,14,0,2020-08-11 08:20:25,2020
220,False,0,2020-08-11 02:08:33+00:00,True,329,active,True,5,329,True,0,10,0,2020-08-11 08:20:25,2020
221,False,0,2020-08-11 01:55:30+00:00,True,330,active,True,9,330,True,0,6,0,2020-08-11 08:20:25,2020
222,False,0,2020-08-11 05:39:01+00:00,True,331,active,True,6,331,True,0,9,0,2020-08-11 08:20:25,2020
223,False,0,2020-08-11 04:44:39+00:00,True,332,active,True,14,332,True,1,0,0,2020-08-11 08:20:25,2020
