,num_docks_available,last_reported,station_id,num_docks_disabled,is_renting,num_ebikes_available,num_bikes_available,station_status,is_installed,eightd_has_available_keys,legacy_id,num_bikes_disabled,is_returning,valet,eightd_active_station_services,timestamp_of_data_read_request,year_station_last_reported
202,6,2020-08-18 20:18:49+00:00,235,0,True,0,9,active,True,False,235,0,True,,,2020-08-18 21:27:20,2020
203,7,2020-08-18 21:02:51+00:00,236,0,True,0,8,active,True,False,236,0,True,,,2020-08-18 21:27:20,2020
204,4,2020-08-18 21:12:57+00:00,239,0,True,0,11,active,True,False,239,0,True,,,2020-08-18 21:27:20,2020
205,8,2020-08-18 19:37:34+00:00,255,0,True,0,7,active,True,False,255,0,True,,,2020-08-18 21:27:20,2020
206,7,2020-08-18 11:20:18+00:00,258,0,True,0,8,active,True,False,258,0,True,,,2020-08-18 21:27:20,2020
207,5,2020-08-18 17:28:18+00:00,259,0,True,0,10,active,True,False,259,0,True,,,2020-08-18 21:27:20,2020
208,11,2020-08-18 20:07:20+00:00,260,0,True,0,4,active,True,False,260,0,True,,,2020-08-18 21:27:20,2020
209,4,2020-08-18 21:17:24+00:00,271,0,True,0,11,active,True,False,271,0,True,,,2020-08-18 21:27:20,2020
210,7,2020-08-18 21:13:12+00:00,272,0,True,0,12,active,True,False,272,0,True,,,2020-08-18 21:27:20,2020
211,18,2020-08-18 21:23:42+00:00,273,0,True,0,22,active,True,False,273,0,True,,,2020-08-18 21:27:20,2020
