,legacy_id,num_docks_available,is_renting,is_returning,is_installed,station_status,num_ebikes_available,station_id,eightd_has_available_keys,num_docks_disabled,num_bikes_available,last_reported,num_bikes_disabled,timestamp_of_data_read_request,year_station_last_reported
190,218,13,True,True,True,active,0,218,False,0,2,2020-08-13 01:15:45+00:00,0,2020-08-13 01:43:35,2020
191,219,8,True,True,True,active,0,219,False,0,6,2020-08-13 01:11:57+00:00,1,2020-08-13 01:43:35,2020
192,221,6,True,True,True,active,0,221,False,0,13,2020-08-13 01:32:56+00:00,0,2020-08-13 01:43:35,2020
193,222,7,True,True,True,active,0,222,True,0,7,2020-08-13 01:24:29+00:00,0,2020-08-13 01:43:35,2020
194,224,2,True,True,True,active,0,224,False,0,13,2020-08-13 00:28:02+00:00,2,2020-08-13 01:43:35,2020
195,225,12,True,True,True,active,0,225,False,0,6,2020-08-13 01:20:37+00:00,1,2020-08-13 01:43:35,2020
196,226,13,True,True,True,active,0,226,False,0,2,2020-08-13 01:29:53+00:00,0,2020-08-13 01:43:35,2020
197,227,6,True,True,True,active,0,227,False,0,10,2020-08-13 01:26:30+00:00,3,2020-08-13 01:43:35,2020
198,228,18,True,True,True,active,0,228,False,0,0,2020-08-13 01:33:17+00:00,1,2020-08-13 01:43:35,2020
199,232,4,True,True,True,active,0,232,False,0,7,2020-08-13 00:10:48+00:00,0,2020-08-13 01:43:35,2020
200,233,9,False,False,True,active,0,233,False,0,6,2020-08-12 18:16:55+00:00,0,2020-08-13 01:43:35,2020
201,234,12,True,True,True,active,0,234,False,0,3,2020-08-13 01:42:13+00:00,0,2020-08-13 01:43:35,2020
202,235,8,True,True,True,active,0,235,False,0,7,2020-08-13 01:26:31+00:00,0,2020-08-13 01:43:35,2020
203,236,5,True,True,True,active,0,236,False,0,10,2020-08-13 01:08:41+00:00,0,2020-08-13 01:43:35,2020
204,239,3,True,True,True,active,0,239,False,0,12,2020-08-13 00:51:10+00:00,0,2020-08-13 01:43:35,2020
205,255,6,True,True,True,active,0,255,False,0,9,2020-08-12 21:50:25+00:00,0,2020-08-13 01:43:35,2020
206,258,5,True,True,True,active,0,258,False,0,10,2020-08-13 01:03:44+00:00,0,2020-08-13 01:43:35,2020
207,259,5,True,True,True,active,0,259,False,0,10,2020-08-13 00:22:22+00:00,0,2020-08-13 01:43:35,2020
208,260,3,False,False,True,active,0,260,False,0,12,2020-08-12 20:35:39+00:00,0,2020-08-13 01:43:35,2020
209,271,11,True,True,True,active,0,271,False,0,4,2020-08-13 01:32:04+00:00,0,2020-08-13 01:43:35,2020
210,272,12,True,True,True,active,0,272,False,0,6,2020-08-13 00:55:50+00:00,1,2020-08-13 01:43:35,2020
211,273,27,True,True,True,active,0,273,False,0,13,2020-08-13 01:23:31+00:00,0,2020-08-13 01:43:35,2020
212,279,1,True,True,True,active,0,279,False,0,18,2020-08-12 23:43:57+00:00,0,2020-08-13 01:43:35,2020
213,280,13,True,True,True,active,0,280,False,0,6,2020-08-13 00:52:16+00:00,0,2020-08-13 01:43:35,2020
214,282,4,True,True,True,active,0,282,False,0,10,2020-08-13 00:22:07+00:00,1,2020-08-13 01:43:35,2020
215,296,17,True,True,True,active,0,296,False,0,6,2020-08-13 01:26:56+00:00,0,2020-08-13 01:43:35,2020
216,318,19,True,True,True,active,0,318,False,0,0,2020-08-13 00:29:18+00:00,0,2020-08-13 01:43:35,2020
217,319,22,True,True,True,active,0,319,False,0,3,2020-08-13 00:27:12+00:00,0,2020-08-13 01:43:35,2020
218,327,8,True,True,True,active,0,327,False,0,7,2020-08-13 00:07:19+00:00,0,2020-08-13 01:43:35,2020
219,328,2,True,True,True,active,0,328,False,0,12,2020-08-13 01:20:46+00:00,1,2020-08-13 01:43:35,2020
220,329,8,True,True,True,active,0,329,False,0,7,2020-08-13 00:40:46+00:00,0,2020-08-13 01:43:35,2020
221,330,6,True,True,True,active,0,330,False,0,9,2020-08-13 00:44:37+00:00,0,2020-08-13 01:43:35,2020
222,331,15,True,True,True,active,0,331,False,0,0,2020-08-13 01:17:35+00:00,0,2020-08-13 01:43:35,2020
223,332,0,True,True,True,active,0,332,False,0,14,2020-08-13 01:22:56+00:00,1,2020-08-13 01:43:35,2020
