,eightd_has_available_keys,station_id,num_docks_disabled,is_returning,is_renting,num_docks_available,last_reported,station_status,legacy_id,num_bikes_disabled,is_installed,num_ebikes_available,num_bikes_available,valet,eightd_active_station_services,timestamp_of_data_read_request,year_station_last_reported
144,False,169,0,True,True,17,2020-07-31 23:20:39+00:00,active,169,0,True,0,2,,,2020-07-31 23:42:35,2020
145,True,170,0,True,True,10,2020-07-31 22:06:37+00:00,active,170,0,True,0,4,,,2020-07-31 23:42:35,2020
146,True,171,0,True,True,15,2020-07-31 23:31:19+00:00,active,171,0,True,0,8,,,2020-07-31 23:42:35,2020
147,True,173,0,True,True,8,2020-07-31 23:24:45+00:00,active,173,2,True,0,4,,,2020-07-31 23:42:35,2020
148,False,174,0,True,True,7,2020-07-31 22:41:56+00:00,active,174,0,True,0,8,,,2020-07-31 23:42:35,2020
149,True,175,0,True,True,16,2020-07-31 23:38:35+00:00,active,175,1,True,0,0,,,2020-07-31 23:42:35,2020
150,False,176,0,True,True,9,2020-07-31 23:34:21+00:00,active,176,0,True,0,6,,,2020-07-31 23:42:35,2020
151,False,177,0,True,True,11,2020-07-31 23:41:48+00:00,active,177,0,True,0,8,,,2020-07-31 23:42:35,2020
152,False,178,0,True,True,12,2020-07-31 23:35:55+00:00,active,178,0,True,0,7,,,2020-07-31 23:42:35,2020
153,False,179,0,True,True,23,2020-07-31 23:35:54+00:00,active,179,2,True,0,0,,,2020-07-31 23:42:35,2020
154,False,180,0,True,True,11,2020-07-31 23:38:17+00:00,active,180,0,True,0,8,,,2020-07-31 23:42:35,2020
155,False,181,0,True,True,13,2020-07-31 23:22:09+00:00,active,181,1,True,0,5,,,2020-07-31 23:42:35,2020
156,True,182,0,True,True,12,2020-07-31 23:01:08+00:00,active,182,1,True,0,6,,,2020-07-31 23:42:35,2020
157,False,183,0,True,True,17,2020-07-31 23:33:46+00:00,active,183,0,True,0,2,,,2020-07-31 23:42:35,2020
158,False,184,0,True,True,16,2020-07-31 23:41:09+00:00,active,184,0,True,0,3,,,2020-07-31 23:42:35,2020
159,False,185,0,True,True,3,2020-07-31 23:33:27+00:00,active,185,0,True,0,12,,,2020-07-31 23:42:35,2020
160,True,186,0,True,True,0,2020-07-31 23:05:19+00:00,active,186,0,True,0,15,,,2020-07-31 23:42:35,2020
161,False,187,0,True,True,3,2020-07-31 23:19:07+00:00,active,187,0,True,0,12,,,2020-07-31 23:42:35,2020
162,False,188,0,True,True,11,2020-07-31 23:36:47+00:00,active,188,0,True,0,4,,,2020-07-31 23:42:35,2020
163,True,189,0,True,True,18,2020-07-31 23:35:51+00:00,active,189,0,True,0,5,,,2020-07-31 23:42:35,2020
164,True,190,0,True,True,13,2020-07-31 23:26:50+00:00,active,190,3,True,0,21,,,2020-07-31 23:42:35,2020
165,False,191,0,True,True,13,2020-07-31 20:45:59+00:00,active,191,0,True,0,2,,,2020-07-31 23:42:35,2020
166,False,192,0,True,True,5,2020-07-31 23:40:31+00:00,active,192,2,True,0,12,,,2020-07-31 23:42:35,2020
167,True,193,0,True,True,10,2020-07-31 23:38:13+00:00,active,193,0,True,0,5,,,2020-07-31 23:42:35,2020
168,False,194,0,True,True,5,2020-07-31 19:33:38+00:00,active,194,0,True,0,14,,,2020-07-31 23:42:35,2020
169,False,195,0,True,True,12,2020-07-31 23:29:39+00:00,active,195,0,True,0,11,,,2020-07-31 23:42:35,2020
170,True,196,0,True,True,9,2020-07-31 22:18:01+00:00,active,196,1,True,0,0,,,2020-07-31 23:42:35,2020
171,False,197,0,True,True,14,2020-07-31 23:28:11+00:00,active,197,0,True,0,1,,,2020-07-31 23:42:35,2020
172,False,199,0,True,True,5,2020-07-31 23:34:36+00:00,active,199,2,True,0,8,,,2020-07-31 23:42:35,2020
173,False,200,0,True,True,5,2020-07-31 22:37:15+00:00,active,200,0,True,0,14,,,2020-07-31 23:42:35,2020
174,False,201,0,True,True,14,2020-07-31 23:29:42+00:00,active,201,0,True,0,1,,,2020-07-31 23:42:35,2020
175,False,202,0,True,True,15,2020-07-31 23:10:10+00:00,active,202,0,True,0,0,,,2020-07-31 23:42:35,2020
176,False,203,0,True,True,9,2020-07-31 22:34:17+00:00,active,203,0,True,0,6,,,2020-07-31 23:42:35,2020
177,False,204,0,True,True,10,2020-07-31 23:20:00+00:00,active,204,0,True,0,5,,,2020-07-31 23:42:35,2020
178,False,205,0,True,True,8,2020-07-31 17:39:13+00:00,active,205,0,True,0,7,,,2020-07-31 23:42:35,2020
179,False,206,0,True,True,14,2020-07-31 23:39:17+00:00,active,206,0,True,0,9,,,2020-07-31 23:42:35,2020
180,True,208,0,True,True,3,2020-07-31 23:39:16+00:00,active,208,0,True,0,12,,,2020-07-31 23:42:35,2020
181,False,209,0,True,True,4,2020-07-31 18:24:14+00:00,active,209,1,True,0,10,,,2020-07-31 23:42:35,2020
182,False,210,0,True,True,13,2020-07-31 22:27:56+00:00,active,210,0,True,0,2,,,2020-07-31 23:42:35,2020
183,False,211,0,True,True,3,2020-07-31 23:05:01+00:00,active,211,0,True,0,16,,,2020-07-31 23:42:35,2020
184,False,212,0,True,True,16,2020-07-31 23:29:33+00:00,active,212,0,True,0,17,,,2020-07-31 23:42:35,2020
185,True,213,0,True,True,13,2020-07-31 22:24:18+00:00,active,213,0,True,0,3,,,2020-07-31 23:42:35,2020
186,False,214,0,True,True,15,2020-07-31 23:38:13+00:00,active,214,0,True,0,0,,,2020-07-31 23:42:35,2020
187,False,215,0,True,True,7,2020-07-31 22:57:42+00:00,active,215,0,True,0,8,,,2020-07-31 23:42:35,2020
188,False,216,0,True,True,5,2020-07-31 23:14:21+00:00,active,216,0,True,0,14,,,2020-07-31 23:42:35,2020
189,False,217,0,True,True,16,2020-07-31 23:31:21+00:00,active,217,0,True,0,3,,,2020-07-31 23:42:35,2020
190,False,218,0,True,True,0,2020-07-31 23:41:25+00:00,active,218,0,True,0,15,,,2020-07-31 23:42:35,2020
191,False,219,0,True,True,5,2020-07-31 22:04:27+00:00,active,219,1,True,0,9,,,2020-07-31 23:42:35,2020
192,False,221,0,True,True,9,2020-07-31 23:32:47+00:00,active,221,0,True,0,10,,,2020-07-31 23:42:35,2020
193,True,222,0,True,True,14,2020-07-31 22:54:13+00:00,active,222,0,True,0,0,,,2020-07-31 23:42:35,2020
194,False,224,0,True,True,6,2020-07-31 23:28:55+00:00,active,224,1,True,0,10,,,2020-07-31 23:42:35,2020
195,False,225,0,True,True,5,2020-07-31 23:40:37+00:00,active,225,0,True,0,14,,,2020-07-31 23:42:35,2020
196,False,226,0,True,True,8,2020-07-31 23:12:46+00:00,active,226,1,True,0,6,,,2020-07-31 23:42:35,2020
197,False,227,0,True,True,16,2020-07-31 23:31:30+00:00,active,227,0,True,0,3,,,2020-07-31 23:42:35,2020
198,False,228,0,True,True,9,2020-07-31 23:20:17+00:00,active,228,0,True,0,10,,,2020-07-31 23:42:35,2020
199,False,232,0,True,True,8,2020-07-31 23:23:50+00:00,active,232,0,True,0,3,,,2020-07-31 23:42:35,2020
200,False,233,0,True,True,3,2020-07-31 23:42:08+00:00,active,233,2,True,0,10,,,2020-07-31 23:42:35,2020
201,False,234,0,True,True,10,2020-07-31 21:15:05+00:00,active,234,0,True,0,5,,,2020-07-31 23:42:35,2020
202,False,235,0,True,True,5,2020-07-31 22:05:49+00:00,active,235,0,True,0,10,,,2020-07-31 23:42:35,2020
203,False,236,0,True,True,9,2020-07-31 22:57:22+00:00,active,236,0,True,0,6,,,2020-07-31 23:42:35,2020
204,False,239,0,True,True,13,2020-07-31 23:30:01+00:00,active,239,1,True,0,1,,,2020-07-31 23:42:35,2020
205,False,255,0,True,True,3,2020-07-31 21:41:07+00:00,active,255,0,True,0,12,,,2020-07-31 23:42:35,2020
206,False,258,0,True,True,4,2020-07-31 23:24:20+00:00,active,258,0,True,0,11,,,2020-07-31 23:42:35,2020
207,False,259,0,True,True,15,2020-07-31 08:31:40+00:00,active,259,0,True,0,0,,,2020-07-31 23:42:35,2020
208,False,260,0,True,True,7,2020-07-31 23:08:11+00:00,active,260,0,True,0,8,,,2020-07-31 23:42:35,2020
209,False,271,0,True,True,15,2020-07-31 21:22:43+00:00,active,271,0,True,0,0,,,2020-07-31 23:42:35,2020
