,is_installed,station_status,is_renting,eightd_has_available_keys,num_ebikes_available,num_bikes_available,legacy_id,is_returning,num_docks_available,station_id,num_docks_disabled,last_reported,num_bikes_disabled,eightd_active_station_services,valet,timestamp_of_data_read_request,year_station_last_reported
193,True,active,True,False,0,4,221,True,15,221,0,2020-08-03 14:35:26+00:00,0,,,2020-08-03 14:51:25,2020
194,True,active,True,True,0,4,222,True,10,222,0,2020-08-03 14:07:32+00:00,0,,,2020-08-03 14:51:25,2020
195,True,active,True,False,0,5,224,True,12,224,0,2020-08-03 12:34:25+00:00,0,,,2020-08-03 14:51:25,2020
196,True,active,True,False,0,0,225,True,19,225,0,2020-08-03 13:12:42+00:00,0,,,2020-08-03 14:51:25,2020
197,True,active,True,False,0,2,226,True,12,226,0,2020-08-03 14:47:25+00:00,1,,,2020-08-03 14:51:25,2020
198,True,active,True,False,0,2,227,True,16,227,0,2020-08-03 14:40:43+00:00,1,,,2020-08-03 14:51:25,2020
199,True,active,True,False,0,4,228,True,14,228,0,2020-08-03 13:57:13+00:00,1,,,2020-08-03 14:51:25,2020
200,True,active,True,False,0,6,232,True,5,232,0,2020-08-03 08:34:07+00:00,0,,,2020-08-03 14:51:25,2020
201,True,active,True,False,0,4,233,True,9,233,0,2020-08-03 14:08:53+00:00,2,,,2020-08-03 14:51:25,2020
202,True,active,True,False,0,3,234,True,12,234,0,2020-08-03 14:06:07+00:00,0,,,2020-08-03 14:51:25,2020
203,True,active,True,False,0,1,235,True,13,235,0,2020-08-03 13:09:50+00:00,1,,,2020-08-03 14:51:25,2020
204,True,active,True,False,0,0,236,True,15,236,0,2020-08-03 13:51:40+00:00,0,,,2020-08-03 14:51:25,2020
205,True,active,True,False,0,10,239,True,5,239,0,2020-08-03 14:12:31+00:00,0,,,2020-08-03 14:51:25,2020
206,True,active,True,False,0,11,255,True,4,255,0,2020-08-03 14:05:41+00:00,0,,,2020-08-03 14:51:25,2020
207,True,active,True,False,0,14,258,True,1,258,0,2020-08-03 10:06:51+00:00,0,,,2020-08-03 14:51:25,2020
208,True,active,True,False,0,0,259,True,15,259,0,2020-08-03 08:59:04+00:00,0,,,2020-08-03 14:51:25,2020
209,True,active,True,False,0,1,260,True,14,260,0,2020-08-03 13:03:36+00:00,0,,,2020-08-03 14:51:25,2020
