,num_docks_disabled,is_renting,is_returning,num_bikes_available,eightd_has_available_keys,station_id,is_installed,station_status,last_reported,num_bikes_disabled,num_docks_available,legacy_id,num_ebikes_available,eightd_active_station_services,valet,timestamp_of_data_read_request,year_station_last_reported
195,0,True,True,5,False,225,True,active,2020-08-20 20:35:40+00:00,2,12,225,0,,,2020-08-20 20:39:50,2020
196,0,True,True,3,False,226,True,active,2020-08-20 20:34:04+00:00,0,12,226,0,,,2020-08-20 20:39:50,2020
197,0,True,True,11,False,227,True,active,2020-08-20 20:33:34+00:00,0,8,227,0,,,2020-08-20 20:39:50,2020
198,0,True,True,8,False,228,True,active,2020-08-20 20:36:05+00:00,0,11,228,0,,,2020-08-20 20:39:50,2020
199,0,True,True,1,False,232,True,active,2020-08-20 20:38:13+00:00,0,10,232,0,,,2020-08-20 20:39:50,2020
200,0,True,True,10,False,233,True,active,2020-08-20 20:09:59+00:00,0,5,233,0,,,2020-08-20 20:39:50,2020
201,0,True,True,6,False,234,True,active,2020-08-20 19:37:33+00:00,0,9,234,0,,,2020-08-20 20:39:50,2020
202,0,True,True,7,False,235,True,active,2020-08-20 15:14:09+00:00,0,8,235,0,,,2020-08-20 20:39:50,2020
203,0,True,True,12,False,236,True,active,2020-08-20 20:24:02+00:00,0,3,236,0,,,2020-08-20 20:39:50,2020
204,0,True,True,4,False,239,True,active,2020-08-20 20:04:11+00:00,2,9,239,0,,,2020-08-20 20:39:50,2020
205,0,True,True,6,False,255,True,active,2020-08-19 14:52:54+00:00,0,9,255,0,,,2020-08-20 20:39:50,2020
206,0,True,True,11,False,258,True,active,2020-08-20 17:37:25+00:00,0,4,258,0,,,2020-08-20 20:39:50,2020
207,0,True,True,9,False,259,True,active,2020-08-20 08:49:49+00:00,0,6,259,0,,,2020-08-20 20:39:50,2020
208,0,True,True,7,False,260,True,active,2020-08-20 15:48:04+00:00,0,8,260,0,,,2020-08-20 20:39:50,2020
209,0,True,True,9,False,271,True,active,2020-08-20 17:32:17+00:00,0,6,271,0,,,2020-08-20 20:39:50,2020
