,legacy_id,is_renting,num_bikes_available,station_status,num_docks_disabled,eightd_has_available_keys,num_ebikes_available,is_installed,station_id,last_reported,num_bikes_disabled,is_returning,num_docks_available,timestamp_of_data_read_request,year_station_last_reported
15,19,True,7,active,0,False,0,True,19,2020-08-12 22:58:00+00:00,0,True,8,2020-08-12 22:59:55,2020
16,20,True,17,active,0,True,0,True,20,2020-08-12 22:57:25+00:00,0,True,6,2020-08-12 22:59:55,2020
17,21,True,17,active,0,True,0,True,21,2020-08-12 22:49:03+00:00,0,True,1,2020-08-12 22:59:55,2020
18,22,True,8,active,0,True,0,True,22,2020-08-12 22:59:33+00:00,1,True,38,2020-08-12 22:59:55,2020
19,23,True,4,active,0,False,0,True,23,2020-08-12 22:59:12+00:00,0,True,17,2020-08-12 22:59:55,2020
20,24,True,13,active,0,False,0,True,24,2020-08-12 22:58:07+00:00,2,True,4,2020-08-12 22:59:55,2020
21,25,True,10,active,0,False,0,True,25,2020-08-12 22:56:52+00:00,1,True,4,2020-08-12 22:59:55,2020
22,26,True,11,active,0,False,0,True,26,2020-08-12 22:55:32+00:00,0,True,4,2020-08-12 22:59:55,2020
23,27,True,15,active,0,False,0,True,27,2020-08-12 22:59:00+00:00,1,True,7,2020-08-12 22:59:55,2020
24,29,True,9,active,0,False,0,True,29,2020-08-12 21:40:24+00:00,0,True,6,2020-08-12 22:59:55,2020
25,30,True,4,active,0,False,0,True,30,2020-08-12 22:57:16+00:00,0,True,11,2020-08-12 22:59:55,2020
26,31,True,4,active,0,True,0,True,31,2020-08-12 21:43:33+00:00,0,True,15,2020-08-12 22:59:55,2020
27,32,True,3,active,0,False,0,True,32,2020-08-12 22:55:51+00:00,0,True,12,2020-08-12 22:59:55,2020
28,33,True,7,active,0,False,0,True,33,2020-08-12 22:42:23+00:00,2,True,18,2020-08-12 22:59:55,2020
29,35,True,9,active,0,False,0,True,35,2020-08-12 22:56:12+00:00,0,True,14,2020-08-12 22:59:55,2020
