,eightd_has_available_keys,station_status,num_bikes_available,is_installed,is_returning,station_id,is_renting,num_docks_available,last_reported,num_bikes_disabled,num_ebikes_available,legacy_id,num_docks_disabled,eightd_active_station_services,valet,timestamp_of_data_read_request,year_station_last_reported
189,False,active,17,True,True,216,True,2,2020-07-27 02:01:16+00:00,0,0,216,0,,,2020-07-27 02:14:45,2020
190,False,active,4,True,True,217,True,15,2020-07-27 01:52:54+00:00,0,0,217,0,,,2020-07-27 02:14:45,2020
191,False,active,1,True,True,218,True,14,2020-07-27 02:10:52+00:00,0,0,218,0,,,2020-07-27 02:14:45,2020
192,False,active,15,True,True,219,True,0,2020-07-26 23:42:58+00:00,0,0,219,0,,,2020-07-27 02:14:45,2020
193,False,active,19,True,True,221,True,0,2020-07-27 01:48:13+00:00,0,0,221,0,,,2020-07-27 02:14:45,2020
194,False,active,3,True,True,222,True,11,2020-07-27 00:50:53+00:00,0,0,222,0,,,2020-07-27 02:14:45,2020
195,False,active,4,True,True,224,True,13,2020-07-27 00:42:09+00:00,0,0,224,0,,,2020-07-27 02:14:45,2020
196,False,active,17,True,True,225,True,1,2020-07-27 01:59:24+00:00,0,0,225,1,,,2020-07-27 02:14:45,2020
197,False,active,3,True,True,226,True,10,2020-07-27 01:50:49+00:00,2,0,226,0,,,2020-07-27 02:14:45,2020
198,False,active,5,True,True,227,True,13,2020-07-27 01:57:02+00:00,1,0,227,0,,,2020-07-27 02:14:45,2020
199,False,active,7,True,True,228,True,11,2020-07-27 00:33:50+00:00,1,0,228,0,,,2020-07-27 02:14:45,2020
200,False,active,9,True,True,232,True,2,2020-07-26 19:25:14+00:00,0,0,232,0,,,2020-07-27 02:14:45,2020
201,False,active,7,True,True,233,True,6,2020-07-27 02:05:08+00:00,2,0,233,0,,,2020-07-27 02:14:45,2020
202,False,active,0,True,True,234,True,15,2020-07-26 19:43:33+00:00,0,0,234,0,,,2020-07-27 02:14:45,2020
203,False,active,13,True,True,235,True,2,2020-07-27 01:45:45+00:00,0,0,235,0,,,2020-07-27 02:14:45,2020
204,False,active,5,True,True,236,True,10,2020-07-27 01:59:53+00:00,0,0,236,0,,,2020-07-27 02:14:45,2020
205,False,active,2,True,True,239,True,13,2020-07-27 00:16:21+00:00,0,0,239,0,,,2020-07-27 02:14:45,2020
206,False,active,6,True,True,255,True,9,2020-07-27 00:16:49+00:00,0,0,255,0,,,2020-07-27 02:14:45,2020
207,False,active,8,True,True,258,True,7,2020-07-27 00:27:09+00:00,0,0,258,0,,,2020-07-27 02:14:45,2020
208,False,active,2,True,True,259,True,13,2020-07-26 14:50:27+00:00,0,0,259,0,,,2020-07-27 02:14:45,2020
209,False,active,15,True,False,260,False,0,2020-07-26 22:37:49+00:00,0,0,260,0,,,2020-07-27 02:14:45,2020
210,False,active,11,True,True,271,True,4,2020-07-26 23:45:14+00:00,0,0,271,0,,,2020-07-27 02:14:45,2020
211,False,active,4,True,True,272,True,15,2020-07-26 22:15:23+00:00,0,0,272,0,,,2020-07-27 02:14:45,2020
