,station_id,is_returning,is_renting,station_status,num_bikes_disabled,num_bikes_available,num_ebikes_available,num_docks_available,num_docks_disabled,is_installed,last_reported,eightd_has_available_keys,legacy_id,valet,eightd_active_station_services,timestamp_of_data_read_request,year_station_last_reported
180,208,True,True,active,0,15,0,0,0,True,2020-07-30 08:56:36+00:00,True,208,,,2020-07-30 16:24:25,2020
181,209,True,True,active,1,12,0,2,0,True,2020-07-30 08:20:08+00:00,False,209,,,2020-07-30 16:24:25,2020
182,210,True,True,active,0,1,0,14,0,True,2020-07-30 13:13:26+00:00,False,210,,,2020-07-30 16:24:25,2020
183,211,True,True,active,1,14,0,4,0,True,2020-07-30 15:39:49+00:00,False,211,,,2020-07-30 16:24:25,2020
184,212,True,True,active,0,8,0,25,0,True,2020-07-30 16:09:32+00:00,False,212,,,2020-07-30 16:24:25,2020
185,213,True,True,active,0,7,0,9,0,True,2020-07-30 15:44:21+00:00,True,213,,,2020-07-30 16:24:25,2020
186,214,True,True,active,0,10,0,5,0,True,2020-07-30 15:47:43+00:00,False,214,,,2020-07-30 16:24:25,2020
187,215,True,True,active,0,11,0,4,0,True,2020-07-30 10:36:08+00:00,False,215,,,2020-07-30 16:24:25,2020
188,216,True,True,active,1,17,0,1,0,True,2020-07-30 08:25:30+00:00,False,216,,,2020-07-30 16:24:25,2020
189,217,True,True,active,1,1,0,17,0,True,2020-07-30 16:00:40+00:00,False,217,,,2020-07-30 16:24:25,2020
190,218,True,True,active,0,10,0,5,0,True,2020-07-30 15:59:43+00:00,False,218,,,2020-07-30 16:24:25,2020
191,219,True,True,active,0,11,0,4,0,True,2020-07-30 16:17:44+00:00,False,219,,,2020-07-30 16:24:25,2020
192,221,True,True,active,0,6,0,13,0,True,2020-07-30 16:20:16+00:00,False,221,,,2020-07-30 16:24:25,2020
193,222,True,True,active,0,1,0,13,0,True,2020-07-30 15:56:38+00:00,True,222,,,2020-07-30 16:24:25,2020
194,224,True,True,active,0,9,0,8,0,True,2020-07-30 15:23:53+00:00,False,224,,,2020-07-30 16:24:25,2020
195,225,True,True,active,1,5,0,13,0,True,2020-07-30 15:59:43+00:00,False,225,,,2020-07-30 16:24:25,2020
196,226,True,True,active,0,1,0,14,0,True,2020-07-30 15:49:46+00:00,False,226,,,2020-07-30 16:24:25,2020
197,227,True,True,active,1,15,0,3,0,True,2020-07-30 16:12:14+00:00,False,227,,,2020-07-30 16:24:25,2020
198,228,True,True,active,0,10,0,9,0,True,2020-07-30 16:12:00+00:00,False,228,,,2020-07-30 16:24:25,2020
199,232,True,True,active,0,4,0,7,0,True,2020-07-30 08:11:52+00:00,False,232,,,2020-07-30 16:24:25,2020
200,233,True,True,active,2,4,0,9,0,True,2020-07-30 14:50:51+00:00,False,233,,,2020-07-30 16:24:25,2020
201,234,True,True,active,0,11,0,4,0,True,2020-07-30 15:05:45+00:00,False,234,,,2020-07-30 16:24:25,2020
202,235,True,True,active,0,6,0,9,0,True,2020-07-30 16:05:56+00:00,False,235,,,2020-07-30 16:24:25,2020
203,236,True,True,active,0,9,0,6,0,True,2020-07-30 15:51:26+00:00,False,236,,,2020-07-30 16:24:25,2020
204,239,True,True,active,0,3,0,12,0,True,2020-07-30 16:03:38+00:00,False,239,,,2020-07-30 16:24:25,2020
205,255,True,True,active,0,13,0,2,0,True,2020-07-30 01:59:20+00:00,False,255,,,2020-07-30 16:24:25,2020
206,258,True,True,active,0,11,0,4,0,True,2020-07-30 15:51:17+00:00,False,258,,,2020-07-30 16:24:25,2020
207,259,True,True,active,0,1,0,14,0,True,2020-07-29 22:31:42+00:00,False,259,,,2020-07-30 16:24:25,2020
208,260,True,True,active,1,5,0,9,0,True,2020-07-30 16:02:55+00:00,False,260,,,2020-07-30 16:24:25,2020
209,271,True,True,active,0,3,0,12,0,True,2020-07-30 13:00:51+00:00,False,271,,,2020-07-30 16:24:25,2020
