,num_bikes_available,is_returning,num_ebikes_available,eightd_has_available_keys,last_reported,station_status,is_installed,legacy_id,station_id,num_docks_available,is_renting,num_bikes_disabled,num_docks_disabled,valet,eightd_active_station_services,timestamp_of_data_read_request,year_station_last_reported
212,4,True,0,False,2020-08-01 00:43:40+00:00,active,True,279,279,15,True,0,0,,,2020-08-01 00:54:00,2020
213,2,True,0,False,2020-07-31 23:55:15+00:00,active,True,280,280,16,True,1,0,,,2020-08-01 00:54:00,2020
214,5,True,0,False,2020-08-01 00:48:31+00:00,active,True,282,282,7,True,3,0,,,2020-08-01 00:54:00,2020
215,20,True,0,False,2020-08-01 00:45:13+00:00,active,True,296,296,3,True,0,0,,,2020-08-01 00:54:00,2020
216,2,True,0,False,2020-08-01 00:46:12+00:00,active,True,318,318,17,True,0,0,,,2020-08-01 00:54:00,2020
217,6,True,0,False,2020-08-01 00:36:43+00:00,active,True,319,319,19,True,0,0,,,2020-08-01 00:54:00,2020
218,1,True,0,False,2020-07-31 23:44:50+00:00,active,True,327,327,14,True,0,0,,,2020-08-01 00:54:00,2020
219,11,True,0,False,2020-08-01 00:48:45+00:00,active,True,328,328,4,True,0,0,,,2020-08-01 00:54:00,2020
220,11,True,0,False,2020-08-01 00:41:59+00:00,active,True,329,329,4,True,0,0,,,2020-08-01 00:54:00,2020
221,5,True,0,False,2020-08-01 00:49:42+00:00,active,True,330,330,10,True,0,0,,,2020-08-01 00:54:00,2020
222,3,True,0,False,2020-08-01 00:46:01+00:00,active,True,331,331,10,True,2,0,,,2020-08-01 00:54:00,2020
223,7,True,0,False,2020-08-01 00:13:11+00:00,active,True,332,332,8,True,0,0,,,2020-08-01 00:54:00,2020
224,19,True,0,False,2020-08-01 00:31:57+00:00,active,True,333,333,6,True,0,0,,,2020-08-01 00:54:00,2020
225,17,True,0,False,2020-07-31 23:52:23+00:00,active,True,334,334,2,True,0,0,,,2020-08-01 00:54:00,2020
226,11,True,0,False,2020-08-01 00:43:52+00:00,active,True,335,335,8,True,0,0,,,2020-08-01 00:54:00,2020
227,9,True,0,False,2020-07-31 23:15:38+00:00,active,True,336,336,6,True,0,0,,,2020-08-01 00:54:00,2020
228,11,True,0,False,2020-08-01 00:31:57+00:00,active,True,337,337,3,True,1,0,,,2020-08-01 00:54:00,2020
229,2,True,0,False,2020-08-01 00:21:57+00:00,active,True,338,338,12,True,1,0,,,2020-08-01 00:54:00,2020
230,10,True,0,False,2020-08-01 00:01:34+00:00,active,True,339,339,4,True,1,0,,,2020-08-01 00:54:00,2020
231,15,True,0,False,2020-07-31 22:20:26+00:00,active,True,340,340,4,True,0,0,,,2020-08-01 00:54:00,2020
