,num_docks_available,legacy_id,num_bikes_available,is_installed,is_returning,station_status,num_docks_disabled,is_renting,eightd_has_available_keys,last_reported,station_id,num_bikes_disabled,num_ebikes_available,timestamp_of_data_read_request,year_station_last_reported
203,4,236,11,True,True,active,0,True,False,2020-08-13 03:24:05+00:00,236,0,0,2020-08-13 05:28:25,2020
204,2,239,13,True,True,active,0,True,False,2020-08-13 03:23:57+00:00,239,0,0,2020-08-13 05:28:25,2020
205,6,255,9,True,True,active,0,True,False,2020-08-13 04:03:35+00:00,255,0,0,2020-08-13 05:28:25,2020
206,5,258,10,True,True,active,0,True,False,2020-08-13 03:24:46+00:00,258,0,0,2020-08-13 05:28:25,2020
207,1,259,14,True,True,active,0,True,False,2020-08-13 04:03:59+00:00,259,0,0,2020-08-13 05:28:25,2020
208,3,260,12,True,False,active,0,False,False,2020-08-12 20:35:39+00:00,260,0,0,2020-08-13 05:28:25,2020
209,12,271,3,True,True,active,0,True,False,2020-08-13 04:27:56+00:00,271,0,0,2020-08-13 05:28:25,2020
210,15,272,3,True,True,active,0,True,False,2020-08-13 04:47:01+00:00,272,1,0,2020-08-13 05:28:25,2020
211,25,273,15,True,True,active,0,True,False,2020-08-13 03:46:05+00:00,273,0,0,2020-08-13 05:28:25,2020
212,1,279,18,True,True,active,0,True,False,2020-08-13 03:24:03+00:00,279,0,0,2020-08-13 05:28:25,2020
213,11,280,8,True,True,active,0,True,False,2020-08-13 03:45:58+00:00,280,0,0,2020-08-13 05:28:25,2020
214,4,282,10,True,True,active,0,True,False,2020-08-13 03:23:49+00:00,282,1,0,2020-08-13 05:28:25,2020
215,8,296,15,True,True,active,0,True,False,2020-08-13 05:11:00+00:00,296,0,0,2020-08-13 05:28:25,2020
216,16,318,3,True,True,active,0,True,False,2020-08-13 04:58:28+00:00,318,0,0,2020-08-13 05:28:25,2020
217,23,319,2,True,True,active,0,True,False,2020-08-13 04:19:05+00:00,319,0,0,2020-08-13 05:28:25,2020
218,6,327,9,True,True,active,0,True,False,2020-08-13 03:22:42+00:00,327,0,0,2020-08-13 05:28:25,2020
219,3,328,11,True,True,active,0,True,False,2020-08-13 03:55:30+00:00,328,1,0,2020-08-13 05:28:25,2020
220,7,329,8,True,True,active,0,True,False,2020-08-13 04:16:03+00:00,329,0,0,2020-08-13 05:28:25,2020
221,10,330,5,True,True,active,0,True,False,2020-08-13 05:13:50+00:00,330,0,0,2020-08-13 05:28:25,2020
222,9,331,5,True,True,active,0,True,False,2020-08-13 05:19:07+00:00,331,1,0,2020-08-13 05:28:25,2020
223,0,332,14,True,True,active,0,True,False,2020-08-13 03:28:16+00:00,332,1,0,2020-08-13 05:28:25,2020
