,num_bikes_available,is_renting,station_status,num_docks_disabled,num_docks_available,station_id,num_bikes_disabled,last_reported,legacy_id,is_returning,is_installed,num_ebikes_available,eightd_has_available_keys,eightd_active_station_services,valet,timestamp_of_data_read_request,year_station_last_reported
159,3,True,active,0,12,185,0,2020-08-20 22:56:58+00:00,185,True,True,0,False,,,2020-08-20 23:03:00,2020
160,5,True,active,0,10,186,0,2020-08-20 22:56:12+00:00,186,True,True,0,True,,,2020-08-20 23:03:00,2020
161,1,True,active,0,14,187,0,2020-08-20 23:01:17+00:00,187,True,True,0,False,,,2020-08-20 23:03:00,2020
162,12,True,active,0,3,188,0,2020-08-20 22:39:52+00:00,188,True,True,0,False,,,2020-08-20 23:03:00,2020
163,4,True,active,0,18,189,1,2020-08-20 23:02:47+00:00,189,True,True,0,True,,,2020-08-20 23:03:00,2020
164,1,True,active,0,35,190,1,2020-08-20 23:01:44+00:00,190,True,True,0,True,,,2020-08-20 23:03:00,2020
165,0,True,active,0,15,191,0,2020-08-20 22:49:39+00:00,191,True,True,0,False,,,2020-08-20 23:03:00,2020
166,10,True,active,0,9,192,0,2020-08-20 22:39:16+00:00,192,True,True,0,False,,,2020-08-20 23:03:00,2020
167,2,True,active,0,13,193,0,2020-08-20 22:43:51+00:00,193,True,True,0,True,,,2020-08-20 23:03:00,2020
168,2,True,active,0,17,194,0,2020-08-20 20:58:03+00:00,194,True,True,0,False,,,2020-08-20 23:03:00,2020
169,8,True,active,0,15,195,0,2020-08-20 22:56:46+00:00,195,True,True,0,False,,,2020-08-20 23:03:00,2020
170,2,True,active,0,8,196,0,2020-08-20 21:12:36+00:00,196,True,True,0,False,,,2020-08-20 23:03:00,2020
171,7,True,active,0,7,197,1,2020-08-20 20:10:46+00:00,197,True,True,0,False,,,2020-08-20 23:03:00,2020
172,8,True,active,0,7,199,0,2020-08-20 14:19:54+00:00,199,True,True,0,False,,,2020-08-20 23:03:00,2020
173,19,True,active,0,0,200,0,2020-08-20 23:00:19+00:00,200,True,True,0,False,,,2020-08-20 23:03:00,2020
174,3,True,active,0,12,201,0,2020-08-20 22:30:26+00:00,201,True,True,0,False,,,2020-08-20 23:03:00,2020
175,3,True,active,0,12,202,0,2020-08-20 22:22:54+00:00,202,True,True,0,False,,,2020-08-20 23:03:00,2020
176,6,True,active,0,9,203,0,2020-08-20 16:40:31+00:00,203,True,True,0,False,,,2020-08-20 23:03:00,2020
177,2,True,active,0,12,204,1,2020-08-20 22:54:54+00:00,204,True,True,0,False,,,2020-08-20 23:03:00,2020
178,2,True,active,0,13,205,0,2020-08-20 21:59:21+00:00,205,True,True,0,False,,,2020-08-20 23:03:00,2020
