,is_returning,num_bikes_available,station_id,num_bikes_disabled,is_installed,num_docks_disabled,station_status,is_renting,num_docks_available,legacy_id,last_reported,eightd_has_available_keys,num_ebikes_available,eightd_active_station_services,valet,timestamp_of_data_read_request,year_station_last_reported
283,True,11,395,0,True,0,active,True,4,395,2020-08-13 21:46:42+00:00,False,0,,,2020-08-14 00:52:45,2020
284,True,8,396,0,True,0,active,True,7,396,2020-08-13 23:37:07+00:00,False,0,,,2020-08-14 00:52:45,2020
285,True,8,397,0,True,0,active,True,7,397,2020-08-13 20:39:34+00:00,False,0,,,2020-08-14 00:52:45,2020
286,True,2,398,0,True,0,active,True,17,398,2020-08-14 00:33:22+00:00,False,0,,,2020-08-14 00:52:45,2020
287,True,8,399,0,True,0,active,True,7,399,2020-08-14 00:50:15+00:00,False,0,,,2020-08-14 00:52:45,2020
288,True,6,400,0,True,0,active,True,21,400,2020-08-13 22:21:37+00:00,False,0,,,2020-08-14 00:52:45,2020
289,True,6,401,0,True,0,active,True,9,401,2020-08-14 00:47:39+00:00,False,0,,,2020-08-14 00:52:45,2020
290,True,9,402,1,True,0,active,True,5,402,2020-08-14 00:50:06+00:00,False,0,,,2020-08-14 00:52:45,2020
291,True,8,403,1,True,0,active,True,6,403,2020-08-14 00:43:43+00:00,False,0,,,2020-08-14 00:52:45,2020
292,True,10,404,0,True,0,active,True,6,404,2020-08-14 00:36:27+00:00,False,0,,,2020-08-14 00:52:45,2020
293,True,6,405,0,True,0,active,True,13,405,2020-08-13 23:47:36+00:00,False,0,,,2020-08-14 00:52:45,2020
294,True,16,406,0,True,0,active,True,3,406,2020-08-14 00:32:14+00:00,False,0,,,2020-08-14 00:52:45,2020
295,True,3,407,1,True,0,active,True,15,407,2020-08-14 00:49:01+00:00,False,0,,,2020-08-14 00:52:45,2020
296,True,4,408,0,True,0,active,True,11,408,2020-08-13 21:57:31+00:00,False,0,,,2020-08-14 00:52:45,2020
297,True,9,409,0,True,0,active,True,10,409,2020-08-14 00:23:19+00:00,False,0,,,2020-08-14 00:52:45,2020
298,True,13,410,0,True,0,active,True,6,410,2020-08-14 00:28:15+00:00,False,0,,,2020-08-14 00:52:45,2020
299,True,4,411,0,True,0,active,True,11,411,2020-08-14 00:19:24+00:00,False,0,,,2020-08-14 00:52:45,2020
300,True,5,412,0,True,0,active,True,14,412,2020-08-14 00:44:57+00:00,False,0,,,2020-08-14 00:52:45,2020
