,is_returning,station_status,station_id,num_docks_disabled,num_ebikes_available,num_docks_available,is_installed,last_reported,eightd_has_available_keys,num_bikes_disabled,num_bikes_available,legacy_id,is_renting,eightd_active_station_services,valet,timestamp_of_data_read_request,year_station_last_reported
186,True,active,214,0,0,15,True,2020-08-21 19:32:16+00:00,False,0,0,214,True,,,2020-08-21 19:56:40,2020
187,True,active,215,0,0,6,True,2020-08-21 19:13:09+00:00,False,1,8,215,True,,,2020-08-21 19:56:40,2020
188,True,active,216,0,0,5,True,2020-08-21 06:54:34+00:00,False,0,14,216,True,,,2020-08-21 19:56:40,2020
189,True,active,217,0,0,13,True,2020-08-21 19:51:51+00:00,False,1,5,217,True,,,2020-08-21 19:56:40,2020
190,True,active,218,0,0,11,True,2020-08-21 19:45:13+00:00,False,0,4,218,True,,,2020-08-21 19:56:40,2020
191,True,active,219,0,0,10,True,2020-08-21 19:32:12+00:00,False,0,5,219,True,,,2020-08-21 19:56:40,2020
192,True,active,221,0,0,17,True,2020-08-21 19:53:52+00:00,False,0,2,221,True,,,2020-08-21 19:56:40,2020
193,True,active,222,0,0,11,True,2020-08-21 19:55:55+00:00,True,1,2,222,True,,,2020-08-21 19:56:40,2020
194,True,active,224,0,0,8,True,2020-08-21 19:43:24+00:00,False,1,8,224,True,,,2020-08-21 19:56:40,2020
195,True,active,225,0,0,8,True,2020-08-21 19:45:12+00:00,False,1,10,225,True,,,2020-08-21 19:56:40,2020
196,True,active,226,0,0,12,True,2020-08-21 19:52:18+00:00,False,0,3,226,True,,,2020-08-21 19:56:40,2020
197,True,active,227,0,0,9,True,2020-08-21 19:49:26+00:00,False,0,10,227,True,,,2020-08-21 19:56:40,2020
198,True,active,228,0,0,15,True,2020-08-21 19:46:16+00:00,False,0,4,228,True,,,2020-08-21 19:56:40,2020
199,True,active,232,0,0,10,True,2020-08-21 08:55:46+00:00,False,0,1,232,True,,,2020-08-21 19:56:40,2020
200,True,active,233,0,0,4,True,2020-08-21 19:52:22+00:00,False,0,11,233,True,,,2020-08-21 19:56:40,2020
201,True,active,234,0,0,14,True,2020-08-21 19:17:19+00:00,False,0,1,234,True,,,2020-08-21 19:56:40,2020
202,True,active,235,0,0,5,True,2020-08-21 19:10:06+00:00,False,0,10,235,True,,,2020-08-21 19:56:40,2020
203,True,active,236,0,0,2,True,2020-08-21 19:20:29+00:00,False,0,13,236,True,,,2020-08-21 19:56:40,2020
204,True,active,239,0,0,11,True,2020-08-21 19:55:51+00:00,False,1,3,239,True,,,2020-08-21 19:56:40,2020
205,True,active,255,0,0,10,True,2020-08-21 18:57:17+00:00,False,0,5,255,True,,,2020-08-21 19:56:40,2020
206,True,active,258,0,0,3,True,2020-08-21 19:20:54+00:00,False,0,12,258,True,,,2020-08-21 19:56:40,2020
207,True,active,259,0,0,7,True,2020-08-21 17:58:41+00:00,False,0,8,259,True,,,2020-08-21 19:56:40,2020
208,True,active,260,0,0,10,True,2020-08-21 19:04:48+00:00,False,0,5,260,True,,,2020-08-21 19:56:40,2020
209,True,active,271,0,0,5,True,2020-08-21 18:31:29+00:00,False,0,10,271,True,,,2020-08-21 19:56:40,2020
